,district,area,year,rooms,value,floor,elevator,parking,warehouse
1189, ولنجک ,۲۰۰,۱۳۹۹,۳,۵۲٬۰۰۰٬۰۰۰٬۰۰۰,۹,"(True,)","(True,)",True
1190, الهیه,۵۲,۱۳۸۰,۱,۶٬۰۰۰٬۰۰۰٬۰۰۰,۴ از ۴,False,False,False
1191, دریاچه شهدای خلیج فارس ,۱۳۲,۱۴۰۱,۲,۶٬۴۵۰٬۰۰۰٬۰۰۰,۱۲,"(True,)","(True,)",True
1192, جنت‌آباد شمالی ,۱۲۲,۱۴۰۱,۳,۸٬۹۵۰٬۰۰۰٬۰۰۰,۴ از ۶,"(True,)","(True,)",True
1193, جنت‌آباد شمالی ,۱۴۰,۱۴۰۱,۳,۹٬۵۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
1194, جنت‌آباد مرکزی ,۱۲۵,۱۳۹۵,۳,۸٬۳۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
1195, شهر زیبا ,۱۰۵,۱۳۸۷,۲,۵٬۹۷۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
1196, جنت‌آباد جنوبی ,۱۱۸,۱۳۹۷,۳,۸٬۹۰۰٬۰۰۰٬۰۰۰,۴ از ۵,"(True,)","(True,)",True
1197, جنت‌آباد مرکزی ,۸۸,۱۳۹۷,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
1198, جنت‌آباد جنوبی,۹۶,۱۳۹۹,۲,۷٬۲۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
1199, سازمان برنامه ,۱۱۸,۱۳۹۷,۳,۷٬۹۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
1200, شهران جنوبی ,۱۱۰,۱۳۹۳,۲,۶٬۴۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1201, پیروزی ,۴۵,۱۳۸۹,۱,۲٬۴۵۰٬۰۰۰٬۰۰۰,۱ از ۴,False,"(True,)",True
1202, جنت‌آباد مرکزی ,۸۸,۱۳۸۲,۲,۵٬۴۵۰٬۰۰۰٬۰۰۰,۲ از ۴,False,"(True,)",True
1203, کوی فردوس ,۱۵۵,۱۳۸۶,۳,۸٬۷۴۹٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1204, باغ فیض ,۸۳,۱۳۸۷,۲,۵٬۰۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
1205, سعادت‌آباد ,۲۵۰,۱۴۰۱,۳,۵۷٬۵۰۰٬۰۰۰٬۰۰۰,۳ از ۶,"(True,)","(True,)",True
1206, سعادت‌آباد ,۱۵۷,۱۳۸۵,۳,۱۱٬۰۰۰٬۰۰۰٬۰۰۰,۲ از ۳,"(True,)","(True,)",True
1207, تهرانپارس غربی ,۹۰,۱۳۹۴,۲,۶٬۱۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1208, جنت‌آباد جنوبی ,۹۴,۱۳۸۸,۲,۵٬۹۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1209, نیاوران ,۱۵۳,۱۳۹۶,۳,۱۶٬۹۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
1210, نیاوران ,۱۰۴,۱۳۸۵,۲,۱۰٬۵۰۰٬۰۰۰٬۰۰۰,۱۰ از ۱۵,"(True,)","(True,)",True
1211, عبدل‌آباد ,۶۵,۱۳۹۱,۱,۱٬۷۵۰٬۰۰۰٬۰۰۰,۴ از ۴,False,False,False
1212, چیتگر ,۱۳۵,۱۳۹۶,۳,۶٬۸۵۰٬۰۰۰٬۰۰۰,۱۱,"(True,)","(True,)",True
1213, شهرک راه‌آهن ,۱۱۰,۱۳۹۸,۲,۵٬۲۵۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
1214, شهرک غرب ,۱۴۵,۱۴۰۰,۳,۲۱٬۳۰۰٬۰۰۰٬۰۰۰,۵ از ۶,"(True,)","(True,)",True
1215, دریاچه شهدای خلیج فارس ,۱۵۸,۱۴۰۱,۳,۱۲٬۰۰۰٬۰۰۰٬۰۰۰,۱۱,"(True,)","(True,)",True
1216, زعفرانیه ,۲۵۰,۱۳۸۵,۴,۴۳۵,مسکن شهر (پارک وی),"(True,)",False,False
1217, دهکده المپیک ,۱۱۹,۱۴۰۱,۳,۸٬۸۰۰٬۰۰۰٬۰۰۰,۱ از ۳,"(True,)","(True,)",True
1218, صادقیه ,۱۰۲,۱۳۹۱,۲,۶٬۰۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1219, شهرک غرب ,۱۹۵,۱۴۰۱,۳,۲۵٬۷۰۰٬۰۰۰٬۰۰۰,۳ از ۵,"(True,)","(True,)",True
1220, آذربایجان ,۶۴,۱۳۷۱,۲,۲٬۲۰۰٬۰۰۰٬۰۰۰,۲ از ۲,False,False,False
1221, کوی فردوس ,۲۰۵,۱۴۰۱,۳,۱۶٬۰۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
1222, کوی فردوس ,۱۵۰,۱۴۰۰,۳,۱۱٬۰۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
1223, کوی فردوس ,۱۶۵,۱۴۰۱,۳,۱۲٬۵۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
1224, جنت‌آباد جنوبی ,۶۳,۱۳۸۳,۲,۴٬۶۰۰٬۰۰۰٬۰۰۰,۲ از ۵,"(True,)","(True,)",True
