,district,area,year,rooms,value,floor,elevator,parking,warehouse
0, نیاوران ,۲۵۷,۱۳۹۰,۳,۲۵٬۰۰۰٬۰۰۰٬۰۰۰,۳ از ۵,"(True,)","(True,)",True
1, دریاچه شهدای خلیج فارس ,۱۳۲,۱۳۹۰,۳,۶٬۰۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
2, طرشت ,۸۵,۱۳۹۲,۲,۴٬۲۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
3, ولنجک ,۳۴۱,۱۴۰۰,۴,۷۶٬۷۲۵٬۰۰۰٬۰۰۰,۱۱,"(True,)","(True,)",True
4, دارآباد,۱۴۵,۱۴۰۱,۳,۱۳٬۰۰۰٬۰۰۰٬۰۰۰,۵ از ۶,"(True,)","(True,)",True
5, سعادت‌آباد ,۱۱۰,۱۳۹۹,۲,۱۳٬۷۵۰٬۰۰۰٬۰۰۰,۱ از ۵,"(True,)","(True,)",True
6, شهرک ولیعصر ,۷۸,۱۳۸۳,۲,۲٬۴۰۰٬۰۰۰٬۰۰۰,۳ از ۴,False,"(True,)",True
7, جنت‌آباد مرکزی ,۱۴۰,۱۴۰۰,۳,۱۱٬۹۰۰٬۰۰۰٬۰۰۰,۵ از ۵,"(True,)","(True,)",True
8, دروس ,۵۴۰,۱۳۹۸,۳,۳۴۰, املاک ایوان,"(True,)","(True,)",True
9, میرداماد,۱۳۸,۱۳۷۹,۳,۱۱٬۹۰۰٬۰۰۰٬۰۰۰,۶ از ۶,"(True,)","(True,)",True
10, ظفر,۱۶۵,۱۳۷۹,۲,۱۲٬۰۰۰٬۰۰۰٬۰۰۰,۳ از ۵,"(True,)","(True,)",True
11, میرداماد,۷۶,۱۳۹۷,۲,۸٬۲۰۰٬۰۰۰٬۰۰۰,۲ از ۵,"(True,)","(True,)",True
12, میرداماد,۱۴۷,۱۳۹۴,۳,۱۵٬۲۰۰٬۰۰۰٬۰۰۰,۵ از ۵,"(True,)","(True,)",True
13, دروس ,۳۳۰,۱۴۰۱,۴,۵۹٬۴۰۰٬۰۰۰٬۰۰۰,۵ از ۶,"(True,)","(True,)",True
14, دروس ,۲۵۵,۱۴۰۰,۳,۴۴٬۵۰۰٬۰۰۰٬۰۰۰,۶ از ۶,"(True,)","(True,)",True
15, دروس ,۲۷۰,۱۴۰۱,۳,۴۷٬۲۵۰٬۰۰۰٬۰۰۰,۲ از ۵,"(True,)","(True,)",True
16, ازگل ,۸۲,۱۳۹۹,۲,۹٬۳۰۰٬۰۰۰٬۰۰۰,۸,"(True,)","(True,)",True
17, دارآباد ,۵۴,۱۳۹۳,۱,۳٬۹۰۰٬۰۰۰٬۰۰۰,۱ از ۵,"(True,)","(True,)",True
18, دریاچه شهدای خلیج فارس ,۱۰۰,۱۴۰۱,۲,۱٬۷۵۰٬۰۰۰٬۰۰۰,۱۱ از ۱۳,"(True,)","(True,)",True
19, دروس ,۲۸۰,۱۴۰۱,۳,۵۰٬۰۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
20, دروس ,۳۲۰,۱۳۹۶,۴,۵۷٬۰۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
21, دروس ,۲۱۵,۱۳۹۹,۳,۳۴٬۰۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
22, الهیه ,۲۲۰,۱۳۸۶,۳,۲۴٬۰۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
23, چیتگر ,۵۰,۱۴۰۱,۲,۸۰۵٬۰۰۰٬۰۰۰,+۳۰,"(True,)","(True,)",True
24, شهرک نفت (منطقه ۱),۱۱۸,۱۳۸۲,۲,۱۰٬۵۰۰٬۰۰۰٬۰۰۰,۲,False,"(True,)",True
25, مبارک‌آباد بهشتی ,۷۵,۱۳۹۹,۲,۱٬۲۰۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
26, کوی فردوس ,۹۸,۱۳۸۵,۲,۵٬۷۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
27, مبارک‌آباد بهشتی ,۶۵,۱۳۹۹,۲,۱٬۲۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
28, چیتگر ,۶۲,۱۴۰۱,۱,۹۰۰٬۰۰۰٬۰۰۰,۱۵,"(True,)","(True,)",True
29, مبارک‌آباد بهشتی ,۷۵,۱۴۰۱,۲,۱٬۱۵۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
30, مبارک‌آباد بهشتی ,۶۹,۱۳۹۶,۱,۱٬۰۶۹٬۵۰۰٬۰۰۰,۲,"(True,)",False,False
31, پونک ,۹۰,۱۴۰۱,۲,۸٬۰۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
32, مبارک‌آباد بهشتی ,۱۰۲,۱۳۹۹,۲,۱٬۶۷۲٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
33, ولنجک ,۳۲۰,۱۳۹۱,۴,۴۶٬۵۰۰٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
34, جنت‌آباد جنوبی ,۹۳,۱۳۹۵,۲,۶٬۲۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
