date,district,area,year,room,floor,evelator,parking,warehouse,value,type
1401/04/07,جشنواره خ سجده ای جنوبی,60,17,2,4,"شوفاژ,کولر,آسانسور",,,2500000000,آپارتمان
1401/09/13,پیروزی خ شكوفه,58,13,2,3,"شوفاژ,کولر,گاز",yes,yes,2300000000,آپارتمان
1401/04/07,بزرگراه محلاتی خ ارجمندی راد ك كاظمیان پ 49,51,21,2,2,"کولر,گاز",,yes,1320000000,آپارتمان
1401/09/22,بزرگراه ارتش بلوار اوشان,117,درحال ساخت,2,10,"کولر,آسانسور,پکیج,گاز",yes,yes,5000000000,آپارتمان
1401/09/12,قیطریه نرسیده به پارك قیطریه,110,30,0,همكف,"کولر,گاز",,,44000000000,تجاری
1401/06/17,تهرانپارس بزرگراه باقری خ خلیلی,40,10,1,2,"شوفاژ,کولر,گاز",,,2800000000,اداری
1401/07/02,تهرانپارس بلوار پروین,85,1,0,1,"کولر,آسانسور,چیلر,گاز",yes,,4675000000,اداری
1401/04/07,جشنواره خ امین خ 12 بهمن,150,30,3,كلی,"کولر,گاز",,,7000000000,مستغلات
1401/04/07,شیخ بهایی شهرك والفجر,62,3,1,5,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4400000000,آپارتمان
1401/04/07,هفده شهریور خ آبشار خ شیرازی پلاك 39,94,نوساز,2,4,"شوفاژ,کولر,آسانسور,گاز",yes,yes,3700000000,آپارتمان
1401/09/12,ولنجك نرسیده به خ 17,160,20,3,5,"شوفاژ,کولر,آسانسور,گاز",yes,yes,19200000000,آپارتمان
1401/09/16,وحیدیه خ زركش,61,5,2,1,"کولر,پکیج,گاز",yes,yes,2655000000,آپارتمان
1401/07/12,چیتگر شهرك چیتگر پهنه C برج H2,105,درحال ساخت,2,4,"کولر,آسانسور,چیلر,گاز",yes,yes,3150000000,آپارتمان
1401/07/09,شهران فلكه اول,70,10,2,3,"آسانسور,پکیج,گاز",,,3800000000,اداری
1401/09/02,كن محله زر نو,100,11,2,2,"کولر,پکیج,گاز",yes,yes,2670000000,آپارتمان
1401/09/09,ستارخان خ بهبودی,1200,5,30,كلی,"کولر,آسانسور,پکیج,گاز",yes,yes,102000000000,اداری
1401/08/03,هفده شهریور شمالی خ صفا غربی,50,26,1,3,"کولر,گاز",,yes,1350000000,آپارتمان
1401/06/01,ستار خان خ كاشانی پور,134,نوساز,3,مختلف,"شوفاژ,کولر,آسانسور,حیاط,مستخدم,گاز",yes,yes,8040000000,آپارتمان
1401/09/27,مینی سیتی شهرك شهید محلاتی فاز 2,102,26,2,1,"شوفاژ,کولر,آسانسور,گاز",,yes,13150000000,آپارتمان
1401/04/07,ایران كوی میراسماعیلی,53,21,1,1,"شوفاژ,کولر,گاز",,,1760000000,آپارتمان
1401/06/01,ستار خان خ كاشانی پور,110,نوساز,2,مختلف,"شوفاژ,کولر,آسانسور,حیاط,مستخدم,گاز",yes,yes,6600000000,آپارتمان
1401/06/01,ستار خان خ كاشانی پور,129,نوساز,3,مختلف,"شوفاژ,کولر,آسانسور,حیاط,مستخدم,گاز",yes,yes,7740000000,آپارتمان
1401/09/08,بلوار مرزداران خ ناهید,900,,0,كلی,گاز,,,111000000000,کلنگی
1401/09/16,كریمخان ایرانشهر,0,,0,كلی,,,,40000000000,زمین
1401/04/07,فاطمی بلوار گمنام نرسیده به میدان فاطمی,138,30,3,5,"کولر,آسانسور,گاز",yes,,5500000000,آپارتمان
1401/04/07,لاله زار جنوبی كوچه برلن كوچه ناصر شرقی ساختمان 52 واحد 9,18,30,0,همكف,"کولر,گاز",,,1000000000,مغازه
1401/07/02,دروس خ صالح حسینی,205,13,3,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,21525000000,آپارتمان
1401/06/24,ستارخان بین كوثر یكم و دوم,70,17,2,4,"شوفاژ,کولر,گاز",yes,,3300000000,آپارتمان
1401/09/15,فلسطین شمالی نرسیده به بن بست رجایی,98,20,2,3,"شوفاژ,کولر,آسانسور,گاز",,yes,5500000000,اداری
1401/09/08,صادقیه سازمان آب,474,30,9,كلی,"شوفاژ,کولر",,,77000000000,مستغلات
1401/09/29,فاطمی میدان فاطمی,82,15,2,3,"شوفاژ,کولر,گاز",yes,yes,5500000000,اداری
1401/09/16,پاسداران خ بوستان,540,30,6,كلی,"شوفاژ,کولر",yes,yes,168000000000,مستغلات
1401/04/07,نبرد جنوبی خ گلستان 23 پ 38,110,21,2,4,"کولر,گاز",yes,yes,3300000000,آپارتمان
1401/09/14,پاسداران سه راه ضرابخانه,155,نوساز,3,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,11625000000,آپارتمان
1401/05/13,زعفرانیه خ آصف,700,30,10,كلی,"شوفاژ,کولر,گاز",yes,yes,185000000000,مستغلات
1401/09/12,بلواركشاورز فلسطین شمالی,206,30,5,همكف,"شوفاژ,کولر,آسانسور,گاز",yes,yes,9300000000,اداری
1401/10/04,بخارست نرسیده به خ دهم,250,20,4,3,"شوفاژ,کولر,گاز",,,12000000000,اداری
1401/08/26,میرزای شیرازی نرسیده به ك دهم,90,نوساز,2,مختلف,"شوفاژ,کولر,آسانسور,گاز",yes,yes,7470000000,آپارتمان
1401/05/09,ولنجك نرسیده به كوچه 22,400,,0,كلی,,,,500000000000,کلنگی
1401/08/26,میرزای شیرازی نرسیده به ك دهم,106,نوساز,2,مختلف,"شوفاژ,کولر,آسانسور,گاز",yes,yes,8798000000,آپارتمان
1401/07/10,سبلان شمالی خ مطلب نژاد,110,,0,كلی,,,,4500000000,کلنگی
1401/09/24,نارمك خ 46 متری غربی,125,30,3,2,"شوفاژ,کولر,گاز",yes,yes,8000000000,آپارتمان
1401/08/09,میدان رسالت خ مدنی شمالی,160,30,2,كلی,"شوفاژ,کولر",,yes,8000000000,مستغلات
1401/04/07,پیروزی خ نبرد شمالی,200,,0,كلی,,,,16000000000,کلنگی
1401/07/16,پیروزی خ نبرد شمالی,320,,0,كلی,,,,12000000000,کلنگی
1401/09/08,نیرو هوایی خ دوم,235,,0,كلی,,,,21600000000,کلنگی
1401/05/30,پیروزی خ پرستار,48,نوساز,1,1,"کولر,آسانسور,پکیج,گاز",,yes,2208000000,آپارتمان
1401/05/23,نیرو هوایی خ ششم,106,12,2,3,"کولر,پکیج,گاز",,yes,7420000000,آپارتمان
1401/10/05,پاسداران خ بهارستان ششم,100,20,2,1,"کولر,گاز",yes,yes,7500000000,آپارتمان
1401/04/07,تهران پارس فلكه 3,93,16,2,5,"شوفاژ,آسانسور,پکیج,گاز",yes,yes,4350000000,آپارتمان
1401/08/05,سهروردی شمالی نرسیده به خ هویزه,110,30,3,3,"شوفاژ,کولر,آسانسور,گاز",,yes,7300000000,اداری
1401/09/13,گلبرگ غربی خ كرمان جنوبی,320,30,6,كلی,"کولر,زیر زمین,گاز",,,21250000000,مستغلات
1401/04/07,تهرانپارس فرجام شرقی,80,نوساز,2,2,"شوفاژ,کولر,آسانسور,گاز",yes,,4400000000,اداری
1401/04/07,تهران پارس انتهای بلوار پروین شهرك 22 بهمن,84,10,2,1,"کولر,پکیج",yes,yes,4032000000,آپارتمان
1401/04/07,تهران پارس خ 180,89,10,2,5,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4761500000,آپارتمان
1401/04/12,فاطمی خ فكوری,116,30,2,2,"شوفاژ,کولر,آسانسور",yes,yes,5400000000,آپارتمان
1401/09/20,بلوار فردوس شرق خ ولیعصر,340,30,3,كلی,"شوفاژ,کولر",,yes,15360000000,مستغلات
1401/09/08,ولیعصر میدان ولیعصر,64,10,2,8,"شوفاژ,آسانسور,چیلر",,,4480000000,اداری
1401/04/07,فاطمی خ رهی معیری,164,4,3,4,"شوفاژ,کولر,آسانسور",yes,yes,11152000000,آپارتمان
