date,district,area,year,room,floor,evelator,parking,warehouse,value,type
1401/09/28,پیروزی خ شكوفه,160,,0,كلی,,,,14000000000,کلنگی
1401/04/08,پیروزی خ تاجری,47,25,1,4,"کولر,گاز",,yes,1150000000,آپارتمان
1401/04/08,محمودیه خ تیر,320,6,5,3,"آسانسور,چیلر,گاز",yes,yes,52800000000,اداری
1401/04/08,نامجو نرسیده به ك الهی,210,,0,كلی,,,,8500000000,کلنگی
1401/09/17,زعفرانیه مقدس اردبیلی,217,5,5,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,34286000000,اداری
1401/06/01,پیروزی خ زینتی افخم,52,19,1,2,"شوفاژ,کولر,گاز",yes,,1550000000,آپارتمان
1401/04/08,تهران پارس فلكه 1,198,15,3,3,"شوفاژ,کولر,آسانسور,پکیج,سونا,جکوزی,گاز",yes,yes,11500000000,آپارتمان
1401/09/23,نیرو هوایی خ پنجم,285,,0,كلی,,,,16700000000,کلنگی
1401/04/08,تهران پارس خ استخر,131,9,3,5,"کولر,آسانسور,پکیج,گاز",yes,yes,5300000000,آپارتمان
1401/09/24,پیچ شمیران نرسیده به ك نوبخت,116,30,2,3,"شوفاژ,کولر,گاز",,,2700000000,آپارتمان
1401/05/24,پیروزی بلوار ابوذر پل دوم,94,30,3,1,"کولر,گاز",,,3760000000,اداری
1401/07/09,بزرگراه رسالت نرسیده به خ حیدرخانی,100,16,5,1,"کولر,گاز",,,4300000000,اداری
1401/09/22,صادقیه فلكه دوم,14,نوساز,0,همكف,"کولر,گاز",,,8700000000,مغازه
1401/04/08,فرحزاد بالاتراز ایثارگران,0,,0,كلی,,,,4050000000,زمین
1401/04/08,شهرزیبا بلوار تعاون,83,11,2,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,4200000000,آپارتمان
1401/05/24,بزرگراه محلاتی خ تاجیك,60,,0,كلی,,,,2800000000,کلنگی
1401/09/15,سهروردی شمالی نرسیده به پمپ بنزین,540,,0,كلی,,,,45000000000,کلنگی
1401/07/24,سهروردی شمالی خ میرزایی زینالی,150,10,3,5,"آسانسور,حیاط,حیاط خلوت,زیر زمین,مستخدم,پکیج",,,11250000000,اداری
1401/08/18,آیت الله كاشانی اباذر,110,درحال ساخت,2,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,10450000000,آپارتمان
1401/04/29,پونك ایران زمین,60,14,1,5,"شوفاژ,کولر,آسانسور,گاز",yes,yes,3700000000,آپارتمان
1401/06/19,كن سولقان,80,8,2,2,"شوفاژ,کولر,آسانسور,گاز",,yes,1550000000,آپارتمان
1401/06/02,نیرو هوایی خ 30متری,62,6,1,1,"شوفاژ,کولر,آسانسور,پکیج",,yes,2100000000,آپارتمان
1401/10/04,ولیعصر بالاتر از سه راه بهشتی,850,30,10,كلی,"شوفاژ,کولر,حیاط,گاز",yes,yes,87000000000,مستغلات
1401/04/14,تهران پارس خ 214 غربی,90,8,3,1,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4600000000,آپارتمان
1401/08/21,شهرزیبا بلوار تعاون,84,4,2,5,"کولر,آسانسور,پکیج,گاز",yes,,4620000000,اداری
1401/04/08,تهران ویلا خ عنبرافشان,72,30,2,همكف,"شوفاژ,کولر,گاز",,,3240000000,آپارتمان
1401/09/23,شهرزیبا میدان كودك,234,,6,كلی,"شوفاژ,کولر",,,13000000000,کلنگی
1401/09/07,ستارخان بالاتر از جهانی نسب,118,30,2,2,"کولر,گاز",,yes,7200000000,اداری
1401/09/09,ظفر نونهالان خ دلیری,156,7,3,1,"آسانسور,حیاط خلوت,پاسیو,پکیج",yes,yes,12948000000,آپارتمان
1401/04/08,تهران پارس خ 196 غربی,77,18,2,1,"شوفاژ,کولر,پاسیو,گاز",yes,yes,3480000000,آپارتمان
1401/04/08,حكیمیه خ نشوه,125,12,3,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,4400000000,آپارتمان
1401/09/03,سئول نیایش شرقی شهرك فجر,130,30,2,4,"کولر,پکیج,گاز",yes,yes,6500000000,آپارتمان
1401/09/19,امیرآباد كارگرشمالی,76,30,2,4,"شوفاژ,کولر,گاز",,yes,3500000000,اداری
1401/04/08,اتوبان بابایی شهرك شهید بهشتی,97,نوساز,2,18,"کولر,فن کوئر,آسانسور,گاز",yes,yes,4500000000,آپارتمان
1401/09/17,بلوارمرزداران خ ابراهیمی,12,15,0,1,,,,3000000000,مغازه
1401/06/03,آیت الله كاشانی بلوار اباذر,12,30,0,همكف,گاز,,,3200000000,مغازه
1401/10/01,آیت الله كاشانی بلواراباذر,120,17,2,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,10000000000,اداری
1401/04/08,دلاوران 30 متری دوم,100,6,2,1,"کولر,آسانسور,حیاط خلوت,پکیج,گاز",,yes,4000000000,آپارتمان
1401/10/04,سعادت آباد میدان كتاب بلواركوهستان,0,,0,كلی,,,,750000000,زمین
1401/09/14,مطهری خ لارستان,24,30,0,همكف,"کولر,گاز",,,4200000000,مغازه
1401/08/21,سوهانك بالاتر از خ سوهانی,146,6,3,6,"فن کوئر,آسانسور",yes,yes,10950000000,آپارتمان
1401/04/08,جنت آباد مركزی خ شاهین شمالی,98,7,2,2,"کولر,آسانسور,پکیج",yes,yes,5250000000,آپارتمان
1401/05/11,سبلان جنوبی نرسیده به ك طالبی,53,20,1,4,"کولر,گاز",,yes,1440000000,آپارتمان
1401/08/24,هنگام شمیران نو,200,,3,كلی,"کولر,گاز",,,6000000000,کلنگی
1401/08/28,پونك میدان پونك,112,14,0,همكف,,,,56000000000,تجاری
1401/04/08,زعفرانیه خ بهزادی,220,نوساز,1,5,"آسانسور,گاز",yes,,55000000000,اداری
1401/07/30,فاطمی خ جویبار,65,20,2,3,"شوفاژ,کولر,گاز",,yes,2600000000,اداری
1401/04/08,اشرفی اصفهانی سیمون بولیوار بعد از نیایش,75,20,2,1,"شوفاژ,کولر",,,4500000000,آپارتمان
1401/07/07,شهران خ وسك,146,5,3,6,"آسانسور,پکیج",yes,yes,11680000000,آپارتمان
1401/09/13,بر ولیعصر چهارراه امیراكرم,250,30,0,همكف,"کولر,گاز",,,80000000000,تجاری
1401/05/24,سبلان جنوبی نرسیده به ك كوهستانی,60,6,1,1,"شوفاژ,کولر,آسانسور,حیاط خلوت,پکیج",,,2050000000,آپارتمان
1401/10/03,فاطمی خ گمنام,118,30,2,زیرهمكف,"شوفاژ,کولر,گاز",yes,yes,5500000000,آپارتمان
1401/07/18,تهران نو میدان امامت,59,19,1,1,"کولر,گاز",yes,yes,2800000000,آپارتمان
1401/04/08,وانجك نرسیده به گلستان چهارم,130,21,2,1,"شوفاژ,کولر",,yes,13000000000,آپارتمان
1401/08/30,بزرگراه ارتش شهرك ابوذر,140,30,3,1,"چیلر,گاز",yes,yes,16800000000,آپارتمان
1401/05/24,اشرفی اصفهانی باغ فیض خ 22 بهمن,114,11,2,1,"کولر,آسانسور,پکیج",,yes,5650000000,آپارتمان
1401/07/06,نظام آباد خ مدنی جنوبی ایستگاه حسینی خ محمودی ( حسینی ),104,30,2,همكف,"کولر,حیاط,زیر زمین,گاز",,yes,2700000000,آپارتمان
1401/04/08,خواجه نصیر خ سپاه,81,30,2,2,"شوفاژ,کولر",yes,yes,2920000000,آپارتمان
1401/05/23,اوین خ مهدیه,65,نوساز,2,1,"کولر,آسانسور,گاز",,yes,4550000000,آپارتمان
1401/06/02,صادقیه فلكه اول,12,نوساز,0,همكف,,,,3750000000,مغازه
1401/04/08,ستارخان توحید,121,30,3,زیر همكف,گاز,,,3800000000,اداری
1401/10/03,بزرگراه ارتش میدان قائم,96,نوساز,2,20,"فن کوئر,استخر,چیلر,سونا,جکوزی",yes,yes,9000000000,آپارتمان
1401/09/20,ولیعصر بالاتر از پارك ملت,150,2,3,5,"شوفاژ,کولر,آسانسور,گاز",yes,yes,18000000000,آپارتمان
1401/09/03,ونك ده ونك,98,9,2,3,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,5850000000,آپارتمان
1401/09/23,بزرگراه ارتش بلوار اوشان خ وثوق,127,20,2,1,"فن کوئر,حیاط خلوت,پاسیو",yes,yes,7300000000,آپارتمان
1401/05/19,پاسداران خ فرخی یزدی بالاتر از مسجد جامع,130,16,2,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,9100000000,آپارتمان
1401/04/09,جنت آباد شمالی بهارستان,83,18,2,همكف,"شوفاژ,کولر,گاز",yes,yes,4000000000,آپارتمان
1401/04/09,جنت آباد مركزی خ دانش,75,19,3,4,"شوفاژ,کولر,گاز",yes,yes,3000000000,آپارتمان
1401/08/25,نیاوران نرسیده به خ سعید ناطقیان,64,11,1,1,"شوفاژ,کولر,گاز",yes,yes,6500000000,آپارتمان
1401/07/07,ستاری پیامبرمركزی,91,9,2,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,5500000000,آپارتمان
1401/07/16,پونك خ كمالی,79,18,2,3,"شوفاژ,کولر,گاز",yes,yes,4200000000,آپارتمان
1401/04/09,پونك بلواركمالی,104,18,2,4,"شوفاژ,کولر,آسانسور,گاز",yes,yes,6500000000,آپارتمان
1401/09/07,خواجه عبداله خ ابوذر غفاری جنوبی,140,26,3,3,"شوفاژ,کولر,پکیج,گاز",yes,yes,7200000000,آپارتمان
1401/08/28,سعادت آباد میدان كتاب بلواركوهستان,127,22,3,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,9950000000,آپارتمان
1401/09/14,امیرآباد كارگر شمالی,62,نوساز,1,1,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4850000000,آپارتمان
1401/09/21,میرداماد نرسیده به خ شمس تبریزی,100,16,2,6,"کولر,آسانسور,چیلر,گاز",yes,yes,14000000000,اداری
1401/04/09,ستارخان خ بهبودی خ خوشرو,61,5,1,2,"شوفاژ,کولر,آسانسور,گاز",yes,,3250000000,آپارتمان
1401/04/09,تهرانپارس بلوار پروین خ 212,70,11,2,4,"کولر,گاز",yes,yes,2100000000,آپارتمان
1401/04/09,تهرانپارس بلوار پروین خ 208,72,10,2,4,"شوفاژ,کولر,آسانسور,گاز",yes,yes,2850000000,آپارتمان
1401/09/08,خواجه عبداله خ تیسفون,50,30,0,همكف,گاز,,,11000000000,مغازه
1401/05/22,میرداماد خ نسا,156,25,3,4,"شوفاژ,کولر,گاز",yes,yes,8580000000,آپارتمان
1401/07/02,بلوارفردوس شرق خ عقیل,86,16,2,4,"شوفاژ,کولر,گاز",,yes,3440000000,آپارتمان
1401/09/10,اتوبان بابایی شهرك بهشتی,110,19,2,4,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4200000000,آپارتمان
1401/08/01,بزرگراه رسالت خ حیدرخانی خ مظاهری,58,18,1,4,"کولر,گاز",,,2150000000,آپارتمان
1401/04/09,خواجه نظام خ اجاره دار,52,20,1,4,"کولر,گاز",,,1200000000,آپارتمان
1401/09/23,سعادت آباد شهرك پاسارگاد,110,15,2,1,"کولر,آسانسور,پکیج,گاز",,yes,6000000000,آپارتمان
1401/04/09,ملاصدرا خ شاد,400,30,5,4,"شوفاژ,کولر,آسانسور,استخر",yes,yes,30000000000,آپارتمان
1401/09/27,شهر زیبا خ آلاله,115,21,2,1,"شوفاژ,کولر,آسانسور,گاز",,yes,5500000000,آپارتمان
1401/04/09,دارآباد نرسیده به خ صحرا,125,18,3,2,"کولر,آسانسور,گاز",yes,yes,7700000000,آپارتمان
1401/04/09,تهرانپارس بین باقری و اردیبهشت,80,12,2,1,"شوفاژ,کولر,آسانسور,گاز",yes,,3500000000,آپارتمان
1401/04/08,باغ خزانه خیابان تهمتن كوچه بهمنی پلاك 24,60,2,2,4,"آسانسور,پکیج,گاز",yes,,2040000000,آپارتمان
1401/07/16,نیاوران خ احمدی زمانی شرقی,230,9,3,5,"کولر,آسانسور,چیلر,گاز",yes,yes,25300000000,آپارتمان
1401/09/23,انتهای همت غرب دریاچه نرسیده به ایران مال,150,7,3,14,"کولر,آسانسور,چیلر,گاز",yes,yes,10300000000,آپارتمان
1401/08/04,نبرد جنوبی خ زمزم خ شمشاد زنبق 1 پ 4 واحد 5,145,23,2,3,"شوفاژ,کولر,پکیج,گاز",yes,yes,5500000000,آپارتمان
1401/07/18,بزرگراه محلاتی خ مخبرشمالی ك قائم,60,20,1,3,"کولر,گاز",yes,yes,1700000000,آپارتمان
1401/09/27,شهرك اكباتان فاز3 بلوك D2,141,30,3,2,"کولر,فن کوئر,آسانسور,گاز",,,8100000000,آپارتمان
1401/04/09,طرشت خ حسینی,137,25,3,4,"شوفاژ,کولر,گاز",yes,,5069000000,آپارتمان
1401/08/07,بلوارفردوس شرق خ ولیعصر,660,30,15,كلی,"شوفاژ,کولر,گاز",,yes,56100000000,مستغلات
1401/07/02,بهارستان خ مصطفی خمینی كوی اردلان پلاك9,500,30,0,كلی,,,,63000000000,تجاری
1401/07/16,بلوار ابوذر جنوبی پل چهارم خ بهشتی ك هفدهم پ 3,62,18,1,2,"کولر,گاز",,yes,1780000000,آپارتمان
1401/09/06,خواجه نصیر نرسیده به نامجو,100,نوساز,2,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,3600000000,آپارتمان
1401/04/09,بلوار ابوذر جنوبی خ ربذه شمالی ك پنجم پ 12,124,2,3,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,5580000000,آپارتمان
1401/05/31,بهارستان خ ظهیرالاسلام,100,16,2,2,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,,3100000000,آپارتمان
1401/07/16,بلوار ابوذر جنوبی خ مسلم جنوبی ك دهم پ 2 واحد 6,92,12,2,4,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,3500000000,آپارتمان
1401/09/07,شریعتی بالاتراز سیدخندان خ سیمرغ,134,30,3,1,"شوفاژ,کولر,گاز",,yes,7000000000,آپارتمان
1401/04/09,بزرگراه رسالت خ حیدرخانی,59,20,1,همكف,"شوفاژ,کولر,گاز",,yes,2400000000,آپارتمان
1401/04/09,تهران نو فلكه چایچی,73,15,2,1,"کولر,آسانسور,پکیج,گاز",,yes,2700000000,آپارتمان
1401/04/09,جشنواره خ احسان,73,6,2,2,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,1825000000,آپارتمان
1401/09/24,شهیدعراقی خ ملكی نسب,41,2,0,همكف,گاز,yes,,6765000000,مغازه
1401/04/09,تهرانپارس میدان شاهد بین خ 133و135,84,5,2,2,"آسانسور,پکیج,گاز",yes,,3360000000,اداری
1401/05/19,شهرك غرب بلوار فرحزادی,93,نوساز,2,2,"کولر,آسانسور,پکیج,گاز",yes,yes,8500000000,آپارتمان
1401/04/09,ملاصدرا شیراز جنوبی,115,1,2,2,"کولر,آسانسور,پکیج,گاز",yes,yes,8625000000,آپارتمان
1401/08/30,شریعتی روبروی خ ملك ك مقدم,48,21,1,3,"کولر,گاز",,yes,1900000000,آپارتمان
1401/07/02,تهرانپارس خ 196 غربی,250,30,4,كلی,"کولر,گاز",,,28000000000,مستغلات
1401/08/23,تهرانپارس بزرگراه باقری خ 196 غربی بلواراردیبهشت شمالی,78,15,2,3,"کولر,آسانسور,گاز",yes,yes,3500000000,آپارتمان
1401/09/23,سعادت آباد چهارراه سرو,128,8,3,همكف,"شوفاژ,کولر,آسانسور",yes,yes,9300000000,آپارتمان
1401/05/19,سعادت آباد بالاتراز پل یادگار,68,10,2,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4100000000,آپارتمان
1401/04/09,سعادت آّباد  خ  سرو,122,18,2,11,"کولر,آسانسور,گاز",yes,yes,11590000000,اداری
1401/09/26,نارمك خ 46 متری غربی,136,,0,كلی,,,,9600000000,کلنگی
1401/06/31,مینی سیتی شهرك محلاتی بلوارشاهد,140,13,3,4,"شوفاژ,کولر,آسانسور,چیلر,گاز",yes,yes,9500000000,آپارتمان
1401/09/27,ولیعصر چهارراه ولیعصر,90,7,2,3,"آسانسور,پکیج,گاز",yes,yes,11700000000,اداری
1401/07/10,جشنواره خ زهدی,55,6,1,4,"کولر,آسانسور,پکیج,گاز",yes,yes,1890000000,آپارتمان
1401/04/09,انتهای همت غرب دریاچه همت غرب,69,15,1,6,"کولر,فن کوئر,آسانسور,گاز",,,2450000000,آپارتمان
1401/04/09,ستاری پیامبر مركزی,88,نوساز,2,8,"کولر,آسانسور,چیلر,گاز",yes,yes,6800000000,آپارتمان
1401/09/23,سبلان شمالی خ فتاحی ك خاكپور خانگی,150,,0,كلی,,,,2800000000,کلنگی
1401/07/12,تهرانپارس سه راه تهرانپارس,120,30,2,3,"کولر,گاز",,yes,2800000000,آپارتمان
1401/04/09,فلاح خ عاشری ك جهانشاهی پ 5,280,20,4,كلی,"کولر,گاز",,,11880000000,مستغلات
1401/07/04,میدان امام حسین خ اقبال لاهوری,45,16,1,4,"کولر,گاز",,yes,1250000000,آپارتمان
1401/04/09,نظام آباد خ مدنی جنوبی خ رجبی,150,,0,كلی,,,,2300000000,کلنگی
1401/05/25,نامجو نرسیده به سه راه قجاوند,90,6,2,3,"شوفاژ,کولر,آسانسور,گاز",,yes,2950000000,آپارتمان
1401/09/15,نظام آباد خ مدنی جنوبی خ حسینی,120,,0,كلی,,,,3400000000,کلنگی
1401/04/09,تهران پارس خ استخر,64,17,2,3,"کولر,گاز",,yes,2050000000,آپارتمان
1401/05/25,پیروزی خ افراسیابی,180,,0,كلی,,,,14100000000,کلنگی
1401/08/17,بلوارفردوس شرق خ وفاآذر,20,نوساز,0,2,"چیلر,گاز",,,4500000000,مغازه
1401/07/18,پیروزی خ افراسیابی,113,25,2,3,"کولر,گاز",,,3164000000,اداری
1401/04/09,جشنواره خ زهدی,140,5,3,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4200000000,آپارتمان
1401/05/02,جشنواره میدان رهبر انقلاب شمالی,85,4,2,1,"شوفاژ,کولر,گاز",,yes,1650000000,آپارتمان
1401/09/02,ظفر خ دلیری,330,30,6,كلی,"شوفاژ,کولر",yes,yes,36000000000,مستغلات
1401/08/22,زعفرانیه خ اعجازی,145,15,3,1,"کولر,آسانسور,گاز",yes,yes,15225000000,آپارتمان
1401/04/09,بلوارمرزداران خ ایثار (جعفری),138,1,3,4,"کولر,آسانسور,گاز",yes,yes,10350000000,آپارتمان
1401/05/24,تهران پارس خ 202 غربی,65,20,2,4,"شوفاژ,کولر,گاز",,yes,2350000000,آپارتمان
1401/09/29,شریعتی قدوسی خ آقابیگی,150,,0,كلی,"کولر,حیاط,گاز",,,8400000000,کلنگی
1401/04/09,سهروردی شمالی خ زینالی شرقی,97,2,2,1,آسانسور,yes,yes,12125000000,آپارتمان
1401/08/30,محمودیه نرسیده به خ آبان,250,18,4,3,"شوفاژ,کولر,آسانسور,استخر,سونا",yes,yes,27500000000,آپارتمان
1401/04/09,شهرك راه اهن میدان اتریش,113,5,2,1,"شوفاژ,کولر,آسانسور",yes,yes,6500000000,آپارتمان
1401/04/09,هنگام چهارراه استقلال,79,نوساز,2,4,"شوفاژ,کولر,آسانسور",yes,yes,3555000000,آپارتمان
1401/09/29,انتهای همت غرب بعد از تقاطع آزادگان,109,نوساز,2,17,"آسانسور,چیلر",yes,,8720000000,اداری
1401/07/10,مطهری بعدارچهارراه مفتح,87,30,0,همكف,حیاط خلوت,,,45360000000,مغازه
1401/03/25,پونك خ فكوری,78,18,2,4,"شوفاژ,کولر,گاز",yes,yes,3150000000,آپارتمان
1401/03/25,اتوبان بابایی شهرك بهشتی,97,نوساز,2,11,"کولر,آسانسور,چیلر,گاز",yes,yes,3900000000,آپارتمان
1401/03/25,تهرانپارس بلوارپروین,88,17,2,4,"شوفاژ,کولر,گاز",,yes,2500000000,آپارتمان
1401/03/25,پونك سردارجنگل شمالی خ لادن,122,18,3,4,"شوفاژ,کولر,آسانسور,گاز",yes,yes,6710000000,آپارتمان
1401/03/25,جشنواره خ احسان,90,21,2,2,"شوفاژ,کولر,گاز",yes,yes,2420000000,آپارتمان
1401/03/25,حكیمیه خ نشوه,69,11,1,9,"شوفاژ,کولر,آسانسور,گاز",yes,yes,1800000000,آپارتمان
1401/09/16,پونك سردارجنگل,145,12,3,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,9425000000,آپارتمان
1401/03/25,پونك همیلا,86,21,2,4,"شوفاژ,کولر,گاز",yes,yes,4000000000,آپارتمان
1401/09/10,تهرانپارس خ 212,131,نوساز,3,2,"کولر,آسانسور,پکیج,گاز",yes,yes,7860000000,آپارتمان
1401/03/25,بزرگراه رسالت آیت شمالی,55,12,1,4,"شوفاژ,کولر,پکیج,گاز",yes,yes,2560000000,آپارتمان
1401/06/23,تهرانپارس سه راه تهرانپارس جنب برج آناهید,61,11,2,1,"شوفاژ,کولر,آسانسور,گاز",yes,yes,2750000000,آپارتمان
1401/09/06,نظام آباد خ مدنی جنوبی,76,17,2,2,"شوفاژ,کولر,گاز",,yes,2500000000,آپارتمان
1401/05/09,جشنواره چهارراه سیدالشهدا خ گرجی,55,21,1,2,"کولر,گاز",,yes,2200000000,آپارتمان
1401/03/25,سراج كوچه عبدی,85,5,2,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,3400000000,آپارتمان
1401/03/25,تهرانپارس خ 196غربی,103,3,2,5,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,4893000000,آپارتمان
1401/03/25,جشنواره خ احسان كوی 20غربی,57,10,1,همكف,"کولر,گاز",,yes,750000000,آپارتمان
1401/03/25,گاندی نرسیده به ك اعلاء رحیمی,140,30,3,2,"شوفاژ,کولر,گاز",yes,,6000000000,آپارتمان
1401/06/23,بزرگراه رسالت خ حیدرخانی خ احدزاده,92,12,2,3,"شوفاژ,کولر,آسانسور,گاز",,yes,3910000000,آپارتمان
1401/03/25,تهرانپارس خ استخر خ بختیاری,118,10,3,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,4602000000,آپارتمان
1401/09/23,دروازه شمیران خ زرین نعل,71,13,2,4,"کولر,گاز",,yes,1800000000,آپارتمان
1401/07/20,تهرانپارس بلوار پروین كوی 222,127,نوساز,3,2,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,7000000000,آپارتمان
1401/03/25,حكیمیه خ سازمان آب,53,2,1,3,"کولر,آسانسور,گاز",yes,yes,2226000000,آپارتمان
1401/03/25,تهرانپارس خ استخر,55,11,1,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,2500000000,آپارتمان
1401/08/28,وحیدیه میدان تسلیحات خ زینعلی تجریشی,55,21,1,4,"شوفاژ,کولر,گاز",,yes,1800000000,آپارتمان
1401/09/08,ستارخان خ شادمان,150,2,3,4,"کولر,آسانسور,پکیج,گاز",yes,yes,9750000000,آپارتمان
1401/03/25,هنگام شمیران نو,55,15,1,3,"کولر,گاز",,,970000000,آپارتمان
1401/08/14,پیروزی خ پاسدار گمنام,62,3,2,4,"شوفاژ,کولر,آسانسور,گاز",,,2200000000,آپارتمان
1401/06/12,شریعتی پارك كوروش,93,5,2,1,"شوفاژ,کولر,آسانسور,گاز",yes,yes,6000000000,آپارتمان
1401/03/25,جنت آباد خ شاهین شمالی آبشناسان,100,12,2,5,"کولر,آسانسور,پکیج",yes,yes,3600000000,آپارتمان
1401/09/20,پیچ شمیران خ حقوقی,117,28,2,4,"شوفاژ,کولر,گاز",,yes,3276000000,آپارتمان
1401/03/25,تهرانپارس خ سجده ای شمالی,49,20,1,4,"شوفاژ,کولر,گاز",,yes,2300000000,آپارتمان
1401/03/25,هروی ساقدوش,150,1,3,2,"کولر,فن کوئر,آسانسور,چیلر,گاز",yes,yes,12000000000,آپارتمان
1401/05/06,پاسداران خ گلستان,156,11,3,5,"کولر,آسانسور,گاز",yes,yes,14820000000,آپارتمان
1401/03/25,هنگام شمیران نو خ شقایق,30,7,1,4,"کولر,گاز",,,620000000,آپارتمان
1401/09/06,ولیعصر روبروی بیمارستان ناجا ولیعصر,106,27,3,3,"شوفاژ,کولر,آسانسور,گاز",yes,,8480000000,اداری
1401/09/10,بزرگراه ارتش بلواراوشان,67,30,0,همكف,گاز,,,20770000000,مغازه
1401/09/09,هروی گلزار بین ك 12 و ك خاك,150,نوساز,3,2,"شوفاژ,کولر,آسانسور,گاز",yes,,9900000000,آپارتمان
1401/09/16,ستارخان برق آلستوم,88,20,2,5,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,4500000000,آپارتمان
1401/03/25,ستارخان خ بهبودی,70,6,2,1,"کولر,پکیج,گاز",,yes,3500000000,آپارتمان
1401/09/10,سراج خ سروش,150,30,3,كلی,"کولر,گاز",,,4500000000,مستغلات
1401/09/23,فرجام بین آیت شمالی و هنگام,600,30,12,كلی,"کولر,گاز",,,100000000000,مستغلات
1401/09/02,هروی حسین آباد,1200,30,22,كلی,"شوفاژ,کولر,فن کوئر,آسانسور,چیلر,گاز",yes,yes,300000000000,اداری
1401/10/04,یوسف آباد خ جهان آرا,280,,0,كلی,,,,33600000000,کلنگی
1401/08/07,دولت چهار راه قنات,200,,0,كلی,,,,57500000000,کلنگی
1401/03/25,تهرانپارس فلكه اول,124,6,2,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,8000000000,اداری
1401/09/15,مفتح جنوبی روبروی شیرودی,167,30,3,1,"کولر,آسانسور,چیلر,پکیج,گاز",yes,yes,8350000000,آپارتمان
1401/09/15,آرژانتین خ سیاوش,153,19,3,2,"شوفاژ,کولر,آسانسور,گاز",yes,yes,9103500000,آپارتمان
1401/05/09,دروازه شمیران پل چوبی,136,نوساز,3,1,"کولر,آسانسور,پکیج,گاز",,,4080000000,آپارتمان
1401/05/08,دولت سه راه نشاط,75,6,1,1,"آسانسور,چیلر,گاز",,,5500000000,اداری
1401/09/10,انتهای همت غرب جنب دریاچه,100,نوساز,0,1,"آسانسور,چیلر,گاز",yes,yes,10000000000,اداری
1401/09/26,اشرفی اصفهانی شهرك نفت,108,نوساز,2,3,"شوفاژ,کولر,آسانسور,گاز",yes,yes,8640000000,آپارتمان
1401/09/02,شهرك غرب فاز 4 خ زرافشان شمالی,135,30,2,4,"شوفاژ,کولر,گاز",yes,yes,10100000000,آپارتمان
1401/08/05,پونك سردارجنگل,106,7,2,5,"شوفاژ,کولر,آسانسور,گاز",yes,yes,5000000000,آپارتمان
1401/03/25,پیروزی خ پرواز,53,8,1,1,"کولر,آسانسور,پکیج,گاز",,,1550000000,آپارتمان
1401/06/19,بزرگراه رسالت خ حیدرخانی خ احدزاده,78,18,2,2,"کولر,گاز",,yes,2700000000,آپارتمان
1401/03/25,نیرو هوایی نرسیده به خ چهارم,64,20,1,2,"کولر,گاز",,yes,2240000000,آپارتمان
1401/09/19,سبلان جنوبی خ كیائی,200,,0,كلی,,,,7000000000,کلنگی
1401/08/02,نامجو كوچه تیموری,108,نوساز,3,2,"شوفاژ,کولر,آسانسور,گاز",yes,,4100000000,آپارتمان
1401/03/25,تهران پارس نرسیده به خ مهرنامی,152,9,3,1,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,6688000000,اداری
1401/03/25,اتوبان بابایی شهرك البرز,98,5,2,6,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,4100000000,آپارتمان
1401/03/25,نیرو هوایی خ خشی,58,11,1,5,"شوفاژ,کولر,آسانسور,گاز",yes,yes,2500000000,آپارتمان
1401/03/25,تهران پارس بلوار پروین خ 218,54,21,1,1,"کولر,گاز",yes,yes,1850000000,آپارتمان
1401/07/27,میدان شهدا خ كفایی امانی,105,نوساز,3,5,"آسانسور,حیاط,پکیج",yes,,4725000000,آپارتمان
1401/03/25,سعادت آباد بلوار دریا,200,نوساز,0,زیرهمكف,"شوفاژ,کولر,آسانسور,گاز",yes,yes,22000000000,اداری
