,district,area,year,rooms,value,floor,elevator,parking,warehouse
17556, سعادت‌آباد,95,1385,2,7800000000,5,True,True,True
17557, اقدسیه ,145,1395,2,11900000000,1,True,True,True
17558, پاسداران ,117,1401,2,9400000000,10,True,True,True
17559, دروس ,250,1382,4,18700000000,5,True,True,True
17560, مسعودیه ,95,1401,2,3150000000,1,True,True,True
17561, کوی فردوس ,140,1401,3,10500000000,3,True,True,True
17562, ستارخان ,87,1400,2,5400000000,3,True,True,True
17563, میرداماد ,133,1384,2,9600000000,2,True,True,True
17564, دهکده المپیک ,55,1401,1,1705000000,8,True,True,True
17565, پاسداران,140,1398,3,10600000000,2,True,True,True
17566, پاسداران,115,1396,2,8600000000,4,True,True,True
17567, شهرک شهید باقری ,85,1389,2,3850000000,5,True,True,True
17568, امیریه ,60,1390,1,1340000000,3,True,True,False
17569, بهار ,100,1401,3,7300000000,3,True,True,True
17570, جنت‌آباد جنوبی ,110,1401,2,8680000000,3,True,True,True
17571, آهنگ ,58,1400,1,2320000000,1,True,True,False
17572, سهروردی ,41,1389,1,2450000000,3,True,True,False
17573, سلسبیل ,47,1380,1,1800000000,3,True,True,True
17574, جیحون ,61,1395,2,2180000000,2,True,True,False
17575, سیدخندان ,119,1400,2,10115000000,3,True,True,True
17576, اوین ,95,1395,2,10300000000,2,True,True,True
17577, سهروردی ,130,1401,3,11050000000,2,True,True,True
17578, دریاچه شهدای خلیج فارس ,93,1397,2,4320000000,14,True,True,True
17579, آذربایجان ,40,1386,1,2350000000,1,True,True,True
17580, شمس‌آباد ,153,1394,3,11000000000,4,True,True,True
17581, دکتر هوشیار,72,1400,2,3700000000,1,True,True,False
17582, جیحون,81,1394,2,3550000000,4,True,True,True
17583, سعادت‌آباد ,100,1390,2,9500000000,1,True,True,True
17584, دکتر هوشیار ,61,1386,1,2850000000,1,True,True,True
17585, دروس ,110,1401,2,9900000000,2,True,True,True
17586, سبلان ,67,1401,2,3100000000,1,True,True,True
17587, مرزداران ,85,1401,2,6800000000,3,True,True,True
17588, جنت‌آباد شمالی ,100,1384,2,5600000000,2,True,True,True
17589, ولنجک ,103,1395,2,8990000000,4,True,True,True
17590, سهروردی ,80,1378,2,4900000000,2,True,True,True
17591, میرداماد,115,1380,2,7600000000,2,True,True,True
17592, گیشا (کوی نصر) ,55,1401,1,6000000000,1,True,True,True
17593, مجیدیه ,120,1401,2,6600000000,4,True,True,True
17594, شمس‌آباد ,97,1398,2,6305000000,3,True,True,True
17595, شمس‌آباد ,125,1401,2,7500000000,6,True,True,True
17596, شمس‌آباد ,183,1400,3,12750000000,5,True,True,True
17597, سلسبیل ,62,1388,1,2300000000,2,True,True,False
17598, پاسداران ,180,1397,3,14200000000,1,True,True,True
17599, دروس ,145,1384,3,15950000000,3,True,True,True
17600, جنت‌آباد جنوبی ,117,1388,3,6850000000,2,True,True,True
17601, پاسداران ,150,1393,3,14000000000,3,True,True,True
17602, دریاچه شهدای خلیج فارس ,88,1388,2,3950000000,5,True,True,True
17603, اوین ,88,1395,2,9800000000,5,True,True,True
17604, سهروردی ,110,1382,2,7700000000,3,True,True,True
17605, گیشا (کوی نصر) ,98,1397,2,10300000000,2,True,True,True
17606, شهرآرا ,133,1375,3,7700000000,1,True,True,True
